,Survived,Pclass,Sex,Age,Fare,Embarked,Family
0,0,3,0,1,0,0,2
1,1,1,1,2,3,1,2
2,1,3,1,1,1,0,1
3,1,1,1,2,3,0,2
4,0,3,0,2,1,0,1
5,0,3,0,1,1,2,1
6,0,1,0,3,3,0,1
7,0,3,0,0,2,0,5
8,1,3,1,1,1,0,3
9,1,2,1,0,2,1,2
10,1,3,1,0,2,0,3
11,1,1,1,3,2,0,1
12,0,3,0,1,1,0,1
13,0,3,0,2,3,0,7
14,0,3,1,0,0,0,1
15,1,2,1,3,2,0,1
16,0,3,0,0,2,2,6
17,1,2,0,1,1,0,1
18,0,3,1,1,2,0,2
19,1,3,1,1,0,1,1
20,0,2,0,2,2,0,1
21,1,2,0,2,1,0,1
22,1,3,1,0,1,2,1
23,1,1,0,1,3,0,1
24,0,3,1,0,2,0,5
25,1,3,1,2,3,0,7
26,0,3,0,1,0,1,1
27,0,1,0,1,3,0,6
28,1,3,1,1,0,2,1
29,0,3,0,1,0,0,1
30,0,1,0,2,2,1,1
31,1,1,1,2,3,1,2
32,1,3,1,1,0,2,1
33,0,2,0,4,1,0,1
34,0,1,0,1,3,1,2
35,0,1,0,2,3,0,2
36,1,3,0,1,0,1,1
37,0,3,0,1,1,0,1
38,0,3,1,1,2,0,3
39,1,3,1,0,1,1,2
40,0,3,1,2,1,0,2
41,0,2,1,1,2,0,2
42,0,3,0,1,0,1,1
43,1,2,1,0,3,1,4
44,1,3,1,1,0,2,1
45,0,3,0,1,1,0,1
46,0,3,0,1,2,2,2
47,1,3,1,1,0,2,1
48,0,3,0,1,2,1,3
49,0,3,1,1,2,0,2
50,0,3,0,0,3,0,6
51,0,3,0,1,0,0,1
52,1,1,1,3,3,1,2
53,1,2,1,1,2,0,2
54,0,1,0,4,3,1,2
55,1,1,0,2,3,0,1
56,1,2,1,1,1,0,1
57,0,3,0,1,0,1,1
58,1,2,1,0,2,0,4
59,0,3,0,0,3,0,8
60,0,3,0,1,0,1,1
61,1,1,1,2,3,0,1
62,0,1,0,2,3,0,2
63,0,3,0,0,2,0,6
64,0,1,0,2,2,1,1
65,1,3,0,1,2,1,3
66,1,2,1,1,1,0,1
67,0,3,0,1,1,0,1
68,1,3,1,1,1,0,7
69,0,3,0,1,1,0,3
70,0,2,0,1,1,0,1
71,0,3,1,0,3,0,8
72,0,2,0,1,3,0,1
73,0,3,0,1,2,1,2
74,1,3,0,1,3,0,1
75,0,3,0,1,0,0,1
76,0,3,0,1,0,0,1
77,0,3,0,1,1,0,1
78,1,2,0,0,2,0,3
79,1,3,1,1,1,0,1
80,0,3,0,1,1,0,1
81,1,3,0,1,1,0,1
82,1,3,1,1,0,2,1
83,0,1,0,1,3,0,1
84,1,2,1,1,1,0,1
85,1,3,1,2,2,0,4
86,0,3,0,0,3,0,5
87,0,3,0,1,1,0,1
88,1,1,1,1,3,0,6
89,0,3,0,1,1,0,1
90,0,3,0,1,1,0,1
91,0,3,0,1,0,0,1
92,0,1,0,2,3,0,2
93,0,3,0,1,2,0,4
94,0,3,0,3,0,0,1
95,0,3,0,1,1,0,1
96,0,1,0,4,3,1,1
97,1,1,0,1,3,1,2
98,1,2,1,2,2,0,2
99,0,2,0,2,2,0,2
100,0,3,1,1,0,0,1
101,0,3,0,1,0,0,1
102,0,1,0,1,3,0,2
103,0,3,0,2,1,0,1
104,0,3,0,2,1,0,3
105,0,3,0,1,0,0,1
106,1,3,1,1,0,0,1
107,1,3,0,1,0,0,1
108,0,3,0,2,0,0,1
109,1,3,1,1,2,2,2
110,0,1,0,2,3,0,1
111,0,3,1,0,2,1,2
112,0,3,0,1,1,0,1
113,0,3,1,1,1,0,2
114,0,3,1,1,2,1,1
115,0,3,0,1,1,0,1
116,0,3,0,4,0,2,1
117,0,2,0,1,2,0,2
118,0,1,0,1,3,1,2
119,0,3,1,0,3,0,7
120,0,2,0,1,3,0,3
121,0,3,0,1,1,0,1
122,0,2,0,1,2,1,2
123,1,2,1,1,1,0,1
124,0,1,0,3,3,0,2
125,1,3,0,0,1,1,2
126,0,3,0,1,0,2,1
127,1,3,0,1,0,0,1
128,1,3,1,1,2,1,3
129,0,3,0,2,0,0,1
130,0,3,0,2,0,1,1
131,0,3,0,1,0,0,1
132,0,3,1,2,2,0,2
133,1,2,1,1,2,0,2
134,0,2,0,1,1,0,1
135,0,2,0,1,2,1,1
136,1,1,1,1,2,0,3
137,0,1,0,2,3,0,2
138,0,3,0,0,1,0,1
139,0,1,0,1,3,1,1
140,0,3,1,1,2,1,3
141,1,3,1,1,0,0,1
142,1,3,1,1,2,0,2
143,0,3,0,1,0,2,1
144,0,2,0,1,1,0,1
145,0,2,0,1,3,0,3
146,1,3,0,1,0,0,1
147,0,3,1,0,3,0,5
148,0,2,0,2,2,0,3
149,0,2,0,2,1,0,1
150,0,2,0,3,1,0,1
151,1,1,1,1,3,0,2
152,0,3,0,3,1,0,1
153,0,3,0,2,2,0,3
154,0,3,0,1,0,0,1
155,0,1,0,3,3,1,2
156,1,3,1,0,0,2,1
157,0,3,0,1,1,0,1
158,0,3,0,1,1,0,1
159,0,3,0,1,3,0,11
160,0,3,0,2,2,0,2
161,1,2,1,2,2,0,1
162,0,3,0,1,0,0,1
163,0,3,0,1,1,0,1
164,0,3,0,0,3,0,6
165,1,3,0,0,2,0,3
166,1,1,1,2,3,0,2
167,0,3,1,2,2,0,6
168,0,1,0,2,2,0,1
169,0,3,0,1,3,0,1
170,0,1,0,3,3,0,1
171,0,3,0,0,2,2,6
172,1,3,1,0,1,0,3
173,0,3,0,1,1,0,1
174,0,1,0,3,2,1,1
175,0,3,0,1,0,0,3
176,0,3,0,1,2,0,5
177,0,1,1,3,2,1,1
178,0,2,0,1,1,0,1
179,0,3,0,2,0,0,1
180,0,3,1,1,3,0,11
181,0,2,0,1,2,1,1
182,0,3,0,0,3,0,7
183,1,2,0,0,3,0,4
184,1,3,1,0,2,0,3
185,0,1,0,2,3,0,1
186,1,3,1,1,2,2,2
187,1,1,0,2,2,0,1
188,0,3,0,2,2,2,3
189,0,3,0,2,0,0,1
190,1,2,1,1,1,0,1
191,0,2,0,1,1,0,1
192,1,3,1,1,0,0,2
193,1,2,0,0,2,0,3
194,1,1,1,2,2,1,1
195,1,1,1,3,3,1,1
196,0,3,0,1,0,2,1
197,0,3,0,2,1,0,2
198,1,3,1,1,0,2,1
199,0,2,1,1,1,0,1
200,0,3,0,1,1,0,1
201,0,3,0,1,3,0,11
202,0,3,0,2,0,0,1
203,0,3,0,2,0,1,1
204,1,3,0,1,1,0,1
205,0,3,1,0,1,0,2
206,0,3,0,1,2,0,2
207,1,3,0,1,2,1,1
208,1,3,1,0,0,2,1
209,1,1,0,2,2,1,1
210,0,3,0,1,0,0,1
211,1,2,1,2,2,0,1
212,0,3,0,1,0,0,1
213,0,2,0,1,1,0,1
214,0,3,0,1,0,2,2
215,1,1,1,1,3,1,2
216,1,3,1,1,1,0,1
217,0,2,0,2,2,0,2
218,1,1,1,1,3,1,1
219,0,2,0,1,1,0,1
220,1,3,0,0,1,0,1
221,0,2,0,1,1,0,1
222,0,3,0,3,1,0,1
223,0,3,0,1,0,0,1
224,1,1,0,2,3,0,2
225,0,3,0,1,1,0,1
226,1,2,0,1,1,0,1
227,0,3,0,1,0,0,1
228,0,2,0,1,1,0,1
229,0,3,1,1,2,0,5
230,1,1,1,2,3,0,2
231,0,3,0,1,0,0,1
232,0,2,0,3,1,0,1
233,1,3,1,0,3,0,7
234,0,2,0,1,1,0,1
235,0,3,1,1,0,0,1
236,0,2,0,2,2,0,2
237,1,2,1,0,2,0,3
238,0,2,0,1,1,0,1
239,0,2,0,2,1,0,1
240,0,3,1,1,2,1,2
241,1,3,1,1,2,2,2
242,0,2,0,1,1,0,1
243,0,3,0,1,0,0,1
244,0,3,0,1,0,1,1
245,0,1,0,2,3,2,3
246,0,3,1,1,0,0,1
247,1,2,1,1,2,0,3
248,1,1,0,2,3,0,3
249,0,2,0,3,2,0,2
250,0,3,0,1,0,0,1
251,0,3,1,1,1,0,3
252,0,1,0,3,2,0,1
253,0,3,0,1,2,0,2
254,0,3,1,2,2,0,3
255,1,3,1,1,2,1,3
256,1,1,1,2,3,1,1
257,1,1,1,1,3,0,1
258,1,1,1,2,3,1,1
259,1,2,1,3,2,0,2
260,0,3,0,1,0,2,1
261,1,3,0,0,3,0,7
262,0,1,0,3,3,0,3
263,0,1,0,2,0,0,1
264,0,3,1,1,0,2,1
265,0,2,0,2,1,0,1
266,0,3,0,0,3,0,6
267,1,3,0,1,0,0,2
268,1,1,1,3,3,0,2
269,1,1,1,2,3,0,1
270,0,1,0,2,2,0,1
271,1,3,0,1,0,0,1
272,1,2,1,2,2,0,2
273,0,1,0,2,2,1,2
274,1,3,1,1,0,2,1
275,1,1,1,3,3,0,2
276,0,3,1,2,0,0,1
277,0,2,0,1,0,0,1
278,0,3,0,0,2,2,6
279,1,3,1,2,2,0,3
280,0,3,0,4,0,2,1
281,0,3,0,1,0,0,1
282,0,3,0,0,1,0,1
283,1,3,0,1,1,0,1
284,0,1,0,2,2,0,1
285,0,3,0,2,1,1,1
286,1,3,0,1,1,0,1
287,0,3,0,1,0,0,1
288,1,2,0,2,1,0,1
289,1,3,1,1,0,2,1
290,1,1,1,1,3,0,1
291,1,1,1,1,3,1,2
292,0,2,0,2,1,1,1
293,0,3,1,1,1,0,1
294,0,3,0,1,0,0,1
295,0,1,0,2,2,1,1
296,0,3,0,1,0,1,1
297,0,1,1,0,3,0,4
298,1,1,0,2,2,0,1
299,1,1,1,3,3,1,2
300,1,3,1,1,0,2,1
301,1,3,0,1,2,2,3
302,0,3,0,1,0,0,1
303,1,2,1,1,1,2,1
304,0,3,0,1,1,0,1
305,1,1,0,0,3,0,4
306,1,1,1,2,3,1,1
307,1,1,1,1,3,1,2
308,0,2,0,1,2,1,2
309,1,1,1,1,3,1,1
310,1,1,1,1,3,1,1
311,1,1,1,1,3,1,5
312,0,2,1,1,2,0,3
313,0,3,0,1,0,0,1
314,0,2,0,2,2,0,3
315,1,3,1,1,0,0,1
316,1,2,1,1,2,0,2
317,0,2,0,3,1,0,1
318,1,1,1,1,3,0,3
319,1,1,1,2,3,1,3
320,0,3,0,1,0,0,1
321,0,3,0,1,0,0,1
322,1,2,1,1,1,2,1
323,1,2,1,1,2,0,3
324,0,3,0,1,3,0,11
325,1,1,1,2,3,1,1
326,0,3,0,3,0,0,1
327,1,2,1,2,1,0,1
328,1,3,1,1,2,0,3
329,1,1,1,0,3,1,2
330,1,3,1,1,2,2,3
331,0,1,0,2,2,0,1
332,0,1,0,2,3,0,2
333,0,3,0,0,2,0,3
334,1,1,1,2,3,0,2
335,0,3,0,1,0,0,1
336,0,1,0,1,3,0,2
337,1,1,1,2,3,1,1
338,1,3,0,2,1,0,1
339,0,1,0,2,3,0,1
340,1,2,0,0,2,0,3
341,1,1,1,1,3,0,6
342,0,2,0,1,1,0,1
343,0,2,0,1,1,0,1
344,0,2,0,2,1,0,1
345,1,2,1,1,1,0,1
346,1,2,1,2,1,0,1
347,1,3,1,1,2,0,2
348,1,3,0,0,2,0,3
349,0,3,0,2,1,0,1
350,0,3,0,1,1,0,1
351,0,1,0,2,3,0,1
352,0,3,0,0,0,1,3
353,0,3,0,1,2,0,2
354,0,3,0,1,0,1,1
355,0,3,0,1,1,0,1
356,1,1,1,1,3,0,2
357,0,2,1,2,1,0,1
358,1,3,1,1,0,2,1
359,1,3,1,1,0,2,1
360,0,3,0,2,2,0,6
361,0,2,0,1,2,1,2
362,0,3,1,2,2,1,2
363,0,3,0,2,0,0,1
364,0,3,0,1,2,2,2
365,0,3,0,1,0,0,1
366,1,1,1,3,3,1,2
367,1,3,1,1,0,1,1
368,1,3,1,1,0,2,1
369,1,1,1,1,3,1,1
370,1,1,0,1,3,1,2
371,0,3,0,1,0,0,2
372,0,3,0,1,1,0,1
373,0,1,0,1,3,1,1
374,0,3,1,0,2,0,5
375,1,1,1,2,3,1,2
376,1,3,1,1,0,0,1
377,0,1,0,1,3,1,3
378,0,3,0,1,0,1,1
379,0,3,0,1,0,0,1
380,1,1,1,2,3,1,1
381,1,3,1,0,2,1,3
382,0,3,0,1,1,0,1
383,1,1,1,2,3,0,2
384,0,3,0,1,0,0,1
385,0,2,0,1,3,0,1
386,0,3,0,0,3,0,8
387,1,2,1,2,1,0,1
388,0,3,0,1,0,2,1
389,1,2,1,1,1,1,1
390,1,1,0,2,3,0,4
391,1,3,0,1,0,0,1
392,0,3,0,1,1,0,3
393,1,1,1,1,3,1,2
394,1,3,1,1,2,0,3
395,0,3,0,1,0,0,1
396,0,3,1,1,0,0,1
397,0,2,0,2,2,0,1
398,0,2,0,1,1,0,1
399,1,2,1,1,1,0,1
400,1,3,0,2,1,0,1
401,0,3,0,1,1,0,1
402,0,3,1,1,1,0,2
403,0,3,0,1,2,0,2
404,0,3,1,1,1,0,1
405,0,2,0,2,2,0,2
406,0,3,0,3,0,0,1
407,1,2,0,0,2,0,3
408,0,3,0,1,0,0,1
409,0,3,1,1,2,0,5
410,0,3,0,1,0,0,1
411,0,3,0,1,0,2,1
412,1,1,1,2,3,2,2
413,0,2,0,1,0,0,1
414,1,3,0,2,1,0,1
415,0,3,1,1,1,0,1
416,1,2,1,2,3,0,3
417,1,2,1,1,1,0,3
418,0,2,0,1,1,0,1
419,0,3,1,0,2,0,3
420,0,3,0,1,0,1,1
421,0,3,0,1,0,2,1
422,0,3,0,1,0,0,1
423,0,3,1,1,1,0,3
424,0,3,0,1,2,0,3
425,0,3,0,1,0,0,1
426,1,2,1,1,2,0,2
427,1,2,1,1,2,0,1
428,0,3,0,1,0,2,1
429,1,3,0,1,1,0,1
430,1,1,0,1,2,0,1
431,1,3,1,1,2,0,2
432,1,2,1,2,2,0,2
433,0,3,0,1,0,0,1
434,0,1,0,3,3,0,2
435,1,1,1,0,3,0,4
436,0,3,1,1,3,0,5
437,1,2,1,1,2,0,6
438,0,1,0,3,3,0,6
439,0,2,0,1,1,0,1
440,1,2,1,2,2,0,3
441,0,3,0,1,1,0,1
442,0,3,0,1,0,0,2
443,1,2,1,1,1,0,1
444,1,3,0,1,1,0,1
445,1,1,0,0,3,0,3
446,1,2,1,0,2,0,2
