,Survived,Pclass,Sex,Age,Fare,Embarked,Family
447,1,1,0,2,2,0,1
448,1,3,1,0,2,1,4
449,1,1,0,3,2,0,1
450,0,2,0,2,2,0,4
451,0,3,0,1,2,0,2
452,0,1,0,1,2,1,1
453,1,1,0,3,3,1,2
454,0,3,0,1,1,0,1
455,1,3,0,1,0,1,1
456,0,1,0,4,2,0,1
457,1,1,1,2,3,0,2
458,1,2,1,3,1,0,1
459,0,3,0,1,0,2,1
460,1,1,0,2,2,0,1
461,0,3,0,2,1,0,1
462,0,1,0,2,3,0,1
463,0,2,0,2,1,0,1
464,0,3,0,1,1,0,1
465,0,3,0,2,0,0,1
466,0,2,0,1,0,0,1
467,0,1,0,3,2,0,1
468,0,3,0,1,0,2,1
469,1,3,1,0,2,1,4
470,0,3,0,1,0,0,1
471,0,3,0,2,1,0,1
472,1,2,1,2,2,0,4
473,1,2,1,1,1,1,1
474,0,3,1,1,1,0,1
475,0,1,0,2,3,0,1
476,0,2,0,2,2,0,2
477,0,3,0,1,0,0,2
478,0,3,0,1,0,0,1
479,1,3,1,0,1,0,2
480,0,3,0,0,3,0,8
481,0,2,0,1,0,0,1
482,0,3,0,3,1,0,1
483,1,3,1,3,1,0,1
484,1,1,0,1,3,1,2
485,0,3,1,1,2,0,5
486,1,1,1,2,3,0,2
487,0,1,0,3,2,1,1
488,0,3,0,1,1,0,1
489,1,3,0,0,2,0,3
490,0,3,0,1,2,0,2
491,0,3,0,1,0,0,1
492,0,1,0,3,2,0,1
493,0,1,0,4,3,1,1
494,0,3,0,1,1,0,1
495,0,3,0,1,2,1,1
496,1,1,1,3,3,1,2
497,0,3,0,1,2,0,1
498,0,1,1,1,3,0,4
499,0,3,0,1,0,0,1
500,0,3,0,1,1,0,1
501,0,3,1,1,0,2,1
502,0,3,1,1,0,2,1
503,0,3,1,2,1,0,1
504,1,1,1,0,3,0,1
505,0,1,0,1,3,1,2
506,1,2,1,2,2,0,3
507,1,1,0,2,2,0,1
508,0,3,0,1,2,0,1
509,1,3,0,1,3,0,1
510,1,3,0,1,0,2,1
511,0,3,0,1,1,0,1
512,1,1,0,2,2,0,1
513,1,1,1,3,3,1,2
514,0,3,0,1,0,0,1
515,0,1,0,2,3,0,1
516,1,2,1,2,1,0,1
517,0,3,0,1,2,2,1
518,1,2,1,2,2,0,2
519,0,3,0,1,0,0,1
520,1,1,1,1,3,0,1
521,0,3,0,1,0,0,1
522,0,3,0,1,0,1,1
523,1,1,1,2,3,1,2
524,0,3,0,1,0,1,1
525,0,3,0,2,0,2,1
526,1,2,1,3,1,0,1
527,0,1,0,2,3,0,1
528,0,3,0,2,1,0,1
529,0,2,0,1,1,0,4
530,1,2,1,0,2,0,3
531,0,3,0,1,0,1,1
532,0,3,0,1,0,1,3
533,1,3,1,1,2,1,3
534,0,3,1,1,1,0,1
535,1,2,1,0,2,0,3
536,0,1,0,2,2,0,1
537,1,1,1,1,3,1,1
538,0,3,0,1,2,0,1
539,1,1,1,1,3,1,3
540,1,1,1,2,3,0,3
541,0,3,1,0,3,0,7
542,0,3,1,0,3,0,7
543,1,2,0,1,2,0,2
544,0,1,0,3,3,1,2
545,0,1,0,3,2,0,1
546,1,2,1,1,2,0,2
547,1,2,0,1,1,1,1
548,0,3,0,2,2,0,3
549,1,2,0,0,3,0,3
550,1,1,0,1,3,1,3
551,0,2,0,1,2,0,1
552,0,3,0,1,0,2,1
553,1,3,0,1,0,1,1
554,1,3,1,1,0,0,1
555,0,1,0,3,2,0,1
556,1,1,1,2,3,1,2
557,0,1,0,2,3,1,1
558,1,1,1,2,3,0,3
559,1,3,1,2,2,0,2
560,0,3,0,1,0,2,1
561,0,3,0,2,0,0,1
562,0,2,0,1,1,0,1
563,0,3,0,1,1,0,1
564,0,3,1,1,1,0,1
565,0,3,0,1,2,0,3
566,0,3,0,1,0,0,1
567,0,3,1,1,2,0,5
568,0,3,0,1,0,1,1
569,1,3,0,1,0,0,1
570,1,2,0,3,1,0,1
571,1,1,1,3,3,0,3
572,1,1,0,2,2,0,1
573,1,3,1,1,0,2,1
574,0,3,0,0,1,0,1
575,0,3,0,1,2,0,1
576,1,2,1,2,1,0,1
577,1,1,1,2,3,0,2
578,0,3,1,1,2,1,2
579,1,3,0,1,1,0,1
580,1,2,1,1,2,0,3
581,1,1,1,2,3,1,3
582,0,2,0,3,2,0,1
583,0,1,0,2,3,1,1
584,0,3,0,1,1,1,1
585,1,1,1,1,3,0,3
586,0,2,0,2,2,0,1
587,1,1,0,3,3,1,3
588,0,3,0,1,1,0,1
589,0,3,0,1,1,0,1
590,0,3,0,2,0,0,1
591,1,1,1,3,3,1,2
592,0,3,0,2,0,0,1
593,0,3,1,1,0,2,3
594,0,2,0,2,2,0,2
595,0,3,0,2,2,0,3
596,1,2,1,1,3,0,1
597,0,3,0,3,0,0,1
598,0,3,0,1,0,1,1
599,1,1,0,3,3,1,2
600,1,2,1,1,2,0,4
601,0,3,0,1,0,0,1
602,0,1,0,2,3,0,1
603,0,3,0,2,1,0,1
604,1,1,0,2,2,1,1
605,0,3,0,2,2,0,2
606,0,3,0,1,0,0,1
607,1,1,0,1,2,0,1
608,1,2,1,1,3,1,4
609,1,1,1,2,3,0,1
610,0,3,1,2,3,0,7
611,0,3,0,1,0,0,1
612,1,3,1,1,2,2,2
613,0,3,0,1,0,2,1
614,0,3,0,2,1,0,1
615,1,2,1,1,3,0,4
616,0,3,0,2,1,0,3
617,0,3,1,1,2,0,2
618,1,2,1,0,3,0,4
619,0,2,0,1,1,0,1
620,0,3,0,1,2,1,2
621,1,1,0,2,3,0,2
622,1,3,0,1,2,1,3
623,0,3,0,1,0,0,1
624,0,3,0,1,2,0,1
625,0,1,0,3,3,0,1
626,0,2,0,3,1,2,1
627,1,1,1,1,3,0,1
628,0,3,0,1,0,0,1
629,0,3,0,1,0,2,1
630,1,1,0,4,2,0,1
631,0,3,0,3,0,0,1
632,1,1,0,1,2,1,1
633,0,1,0,2,0,0,1
634,0,3,1,0,2,0,6
635,1,2,1,1,1,0,1
636,0,3,0,1,1,0,1
637,0,2,0,1,2,0,3
638,0,3,1,2,3,0,6
639,0,3,0,1,2,0,2
640,0,3,0,1,0,0,1
641,1,1,1,1,3,1,1
642,0,3,1,0,2,0,6
643,1,3,0,1,3,0,1
644,1,3,1,0,2,1,4
645,1,1,0,2,3,1,2
646,0,3,0,1,0,0,1
647,1,1,0,3,3,1,1
648,0,3,0,1,0,0,1
649,1,3,1,1,0,0,1
650,0,3,0,1,0,0,1
651,1,2,1,1,2,0,2
652,0,3,0,1,1,0,1
653,1,3,1,1,0,2,1
654,0,3,1,1,0,2,1
655,0,2,0,1,3,0,3
656,0,3,0,1,0,0,1
657,0,3,1,1,2,2,3
658,0,2,0,1,1,0,1
659,0,1,0,3,3,1,3
660,1,1,0,3,3,0,3
661,0,3,0,2,0,1,1
662,0,1,0,2,2,0,1
663,0,3,0,2,0,0,1
664,1,3,0,1,1,0,2
665,0,2,0,1,3,0,3
666,0,2,0,1,1,0,1
667,0,3,0,1,0,0,1
668,0,3,0,2,1,0,1
669,1,1,1,2,3,0,2
670,1,2,1,2,3,0,3
671,0,1,0,1,3,0,2
672,0,2,0,4,1,0,1
673,1,2,0,1,1,0,1
674,0,2,0,1,0,0,1
675,0,3,0,1,0,0,1
676,0,3,0,1,1,0,1
677,1,3,1,1,1,0,1
678,0,3,1,2,3,0,8
679,1,1,0,2,3,1,2
680,0,3,1,1,1,2,1
681,1,1,0,1,3,1,1
682,0,3,0,1,1,0,1
683,0,3,0,0,3,0,8
684,0,2,0,3,3,0,3
685,0,2,0,1,3,1,4
686,0,3,0,0,3,0,6
687,0,3,0,1,1,0,1
688,0,3,0,1,0,0,1
689,1,1,1,0,3,0,2
690,1,1,0,1,3,0,2
691,1,3,1,0,1,1,2
692,1,3,0,1,3,0,1
693,0,3,0,1,0,1,1
694,0,1,0,3,2,0,1
695,0,2,0,3,1,0,1
696,0,3,0,2,1,0,1
697,1,3,1,1,0,2,1
698,0,1,0,3,3,1,3
699,0,3,0,2,0,0,1
700,1,1,1,1,3,1,2
701,1,1,0,2,2,0,1
702,0,3,1,1,2,1,2
703,0,3,0,1,0,2,1
704,0,3,0,1,0,0,2
705,0,2,0,2,2,0,1
706,1,2,1,2,1,0,1
707,1,1,0,2,2,0,1
708,1,1,1,1,3,0,1
709,1,3,0,1,2,1,3
710,1,1,1,1,3,1,1
711,0,1,0,2,2,0,1
712,1,1,0,2,3,0,2
713,0,3,0,1,1,0,1
714,0,2,0,3,1,0,1
715,0,3,0,1,0,0,1
716,1,1,1,2,3,1,1
717,1,2,1,1,1,0,1
718,0,3,0,1,2,2,1
719,0,3,0,2,0,0,1
720,1,2,1,0,3,0,2
721,0,3,0,1,0,0,2
722,0,2,0,2,1,0,1
723,0,2,0,3,1,0,1
724,1,1,0,1,3,0,2
725,0,3,0,1,1,0,1
726,1,2,1,1,2,0,4
727,1,3,1,1,0,2,1
728,0,2,0,1,2,0,2
729,0,3,1,1,1,0,2
730,1,1,1,1,3,0,1
731,0,3,0,0,2,1,1
732,0,2,0,1,0,0,1
733,0,2,0,1,1,0,1
734,0,2,0,1,1,0,1
735,0,3,0,1,2,0,1
736,0,3,1,2,3,0,5
737,1,1,0,2,3,1,1
738,0,3,0,1,0,0,1
739,0,3,0,1,0,0,1
740,1,1,0,2,2,0,1
741,0,1,0,2,3,0,2
742,1,1,1,1,3,1,5
743,0,3,0,1,2,0,2
744,1,3,0,1,1,0,1
745,0,1,0,4,3,0,3
746,0,3,0,0,2,0,3
747,1,2,1,1,1,0,1
748,0,1,0,1,3,0,2
749,0,3,0,1,0,2,1
750,1,2,1,0,2,0,3
751,1,3,0,0,1,0,2
752,0,3,0,2,1,0,1
753,0,3,0,1,0,0,1
754,1,2,1,2,3,0,4
755,1,2,0,0,2,0,3
756,0,3,0,1,0,0,1
757,0,2,0,1,1,0,1
758,0,3,0,2,1,0,1
759,1,1,1,2,3,0,1
760,0,3,0,1,2,0,1
761,0,3,0,2,0,0,1
762,1,3,0,1,0,1,1
763,1,1,1,2,3,0,4
764,0,3,0,0,0,0,1
765,1,1,1,3,3,0,2
766,0,1,0,2,3,1,1
767,0,3,1,1,0,2,1
768,0,3,0,1,2,2,2
769,0,3,0,1,1,0,1
770,0,3,0,1,1,0,1
771,0,3,0,2,0,0,1
772,0,2,1,3,1,0,1
773,0,3,0,1,0,1,1
774,1,2,1,3,2,0,5
775,0,3,0,1,0,0,1
776,0,3,0,1,0,2,1
777,1,3,1,0,1,0,1
778,0,3,0,1,0,2,1
779,1,1,1,2,3,0,2
780,1,3,1,0,0,1,1
781,1,1,1,1,3,0,2
782,0,1,0,1,2,0,1
783,0,3,0,1,2,0,4
784,0,3,0,1,0,0,1
785,0,3,0,1,0,0,1
786,1,3,1,1,0,0,1
787,0,3,0,0,2,2,6
788,1,3,0,0,2,0,4
789,0,1,0,2,3,1,1
790,0,3,0,1,0,2,1
791,0,2,0,0,2,0,1
792,0,3,1,1,3,0,11
793,0,1,0,2,2,1,1
794,0,3,0,1,0,0,1
795,0,2,0,2,1,0,1
796,1,1,1,3,2,0,1
797,1,3,1,1,1,0,1
798,0,3,0,1,0,1,1
799,0,3,1,1,2,0,3
800,0,2,0,2,1,0,1
801,1,2,1,1,2,0,3
802,1,1,0,0,3,0,4
803,1,3,0,0,1,1,2
804,1,3,0,1,0,0,1
805,0,3,0,1,0,0,1
806,0,1,0,2,0,0,1
807,0,3,1,1,0,0,1
808,0,2,0,2,1,0,1
809,1,1,1,2,3,0,2
810,0,3,0,1,0,0,1
811,0,3,0,2,2,0,1
812,0,2,0,2,1,0,1
813,0,3,1,0,3,0,7
814,0,3,0,1,1,0,1
815,0,1,0,2,0,0,1
816,0,3,1,1,1,0,1
817,0,2,0,1,3,1,3
818,0,3,0,2,0,0,1
819,0,3,0,0,2,0,6
820,1,1,1,3,3,0,3
821,1,3,0,1,1,0,1
822,0,1,0,2,0,0,1
823,1,3,1,1,1,0,2
824,0,3,0,0,3,0,6
825,0,3,0,1,0,2,1
826,0,3,0,1,3,0,1
827,1,2,0,0,3,1,3
828,1,3,0,1,0,2,1
829,1,1,1,3,3,0,1
830,1,3,1,0,2,1,2
831,1,2,0,0,2,0,3
832,0,3,0,1,0,1,1
833,0,3,0,1,0,0,1
834,0,3,0,1,1,0,1
835,1,1,1,2,3,1,3
836,0,3,0,1,1,0,1
837,0,3,0,1,1,0,1
838,1,3,0,1,3,0,1
839,1,1,0,2,2,1,1
840,0,3,0,1,1,0,1
841,0,2,0,0,1,0,1
842,1,1,1,1,2,1,1
843,0,3,0,2,0,1,1
844,0,3,0,1,1,0,1
845,0,3,0,2,0,0,1
846,0,3,0,1,3,0,11
847,0,3,0,2,0,1,1
848,0,2,0,1,3,0,2
849,1,1,1,2,3,1,2
850,0,3,0,0,3,0,7
851,0,3,0,4,0,0,1
852,0,3,1,0,2,1,3
853,1,1,1,0,3,0,2
854,0,2,1,2,2,0,2
855,1,3,1,1,1,0,2
856,1,1,1,2,3,0,3
857,1,1,0,3,2,0,1
858,1,3,1,1,2,1,4
859,0,3,0,1,0,1,1
860,0,3,0,2,1,0,3
861,0,2,0,1,1,0,2
862,1,1,1,2,2,0,1
863,0,3,1,1,3,0,11
864,0,2,0,1,1,0,1
865,1,2,1,2,1,0,1
866,1,2,1,1,1,1,2
867,0,1,0,1,3,0,1
868,0,3,0,1,1,0,1
869,1,3,0,0,1,0,3
870,0,3,0,1,0,0,1
871,1,1,1,2,3,0,3
872,0,1,0,2,0,0,1
873,0,3,0,2,1,0,1
874,1,2,1,1,2,1,2
875,1,3,1,0,0,1,1
876,0,3,0,1,1,0,1
877,0,3,0,1,0,0,1
878,0,3,0,1,0,0,1
879,1,1,1,3,3,1,2
880,1,2,1,1,2,0,2
881,0,3,0,2,0,0,1
882,0,3,1,1,1,0,1
883,0,2,0,1,1,0,1
884,0,3,0,1,0,0,1
885,0,3,1,2,2,2,6
886,0,2,0,1,1,0,1
887,1,1,1,1,2,0,1
888,0,3,1,1,2,0,4
889,1,1,0,1,2,1,1
890,0,3,0,1,0,2,1
